Sample,X,Y,Z
0,0.004,0.027,0.852
1,0.012,0.035,0.918
2,0.008,0.031,0.926
3,0.004,0.031,0.918
4,0.004,0.039,0.914
5,0.000,0.035,0.930
6,0.004,0.031,0.926
7,0.008,0.035,0.930
8,0.004,0.023,0.918
9,0.008,0.027,0.926
10,0.012,0.035,0.922
11,0.004,0.031,0.922
12,0.004,0.031,0.926
13,0.004,0.031,0.922
14,0.008,0.039,0.918
15,0.000,0.031,0.914
16,0.000,0.035,0.914
17,0.004,0.031,0.926
18,0.004,0.031,0.922
19,0.004,0.027,0.926
20,0.008,0.031,0.922
21,0.004,0.035,0.930
22,0.000,0.043,0.938
23,0.004,0.031,0.918
24,0.004,0.031,0.926
25,0.004,0.027,0.922
26,0.008,0.039,0.934
27,0.004,0.039,0.926
28,0.008,0.031,0.922
29,0.000,0.031,0.926
30,0.004,0.039,0.918
31,0.008,0.035,0.926
32,0.012,0.027,0.918
33,0.008,0.039,0.922
34,0.004,0.035,0.914
35,0.008,0.047,0.914
36,0.000,0.035,0.926
37,0.012,0.023,0.918
38,0.000,0.039,0.926
39,0.004,0.035,0.922
40,0.000,0.043,0.926
41,0.008,0.031,0.918
42,0.012,0.035,0.930
43,0.004,0.035,0.926
44,0.004,0.035,0.918
45,0.004,0.031,0.922
46,0.016,0.039,0.910
47,0.008,0.035,0.926
48,0.012,0.031,0.918
49,0.012,0.039,0.918
50,0.008,0.039,0.918
51,0.004,0.031,0.914
52,0.004,0.035,0.926
53,0.008,0.027,0.926
54,0.016,0.035,0.926
55,0.004,0.039,0.918
56,0.016,0.043,0.922
57,0.012,0.031,0.914
58,0.012,0.031,0.918
59,0.012,0.035,0.922
60,0.012,0.035,0.926
61,0.008,0.027,0.930
62,0.004,0.031,0.918
63,0.004,0.039,0.918
64,0.008,0.031,0.914
65,0.016,0.031,0.914
66,0.004,0.035,0.918
67,0.008,0.031,0.914
68,0.008,0.035,0.918
69,0.004,0.035,0.918
70,0.012,0.035,0.926
71,0.004,0.039,0.910
72,0.008,0.035,0.918
73,0.008,0.039,0.922
74,0.008,0.035,0.914
75,0.004,0.035,0.914
76,0.008,0.035,0.918
77,0.012,0.035,0.922
78,0.004,0.031,0.914
79,0.004,0.031,0.922
80,0.008,0.031,0.926
81,0.004,0.031,0.910
82,0.004,0.035,0.914
83,0.000,0.031,0.922
84,0.008,0.039,0.926
85,0.004,0.027,0.918
86,0.004,0.027,0.918
87,0.000,0.027,0.914
88,0.004,0.035,0.910
89,0.004,0.027,0.926
90,0.004,0.039,0.922
91,0.000,0.047,0.926
92,0.004,0.035,0.918
93,0.008,0.035,0.906
94,0.008,0.027,0.922
95,0.008,0.039,0.918
96,0.004,0.027,0.910
97,0.004,0.039,0.906
98,0.020,0.035,0.930
99,0.004,0.027,0.926
100,0.004,0.039,0.914
101,0.004,0.031,0.930
102,0.004,0.035,0.918
103,0.004,0.027,0.914
104,0.000,0.035,0.922
105,0.008,0.047,0.918
106,0.008,0.031,0.926
107,0.008,0.023,0.926
108,0.004,0.035,0.922
109,0.008,0.031,0.918
110,0.008,0.031,0.914
111,0.004,0.039,0.926
112,0.008,0.039,0.930
113,0.004,0.035,0.922
114,0.004,0.027,0.922
115,0.012,0.023,0.914
116,0.008,0.031,0.914
117,0.012,0.035,0.926
118,0.012,0.027,0.914
119,0.008,0.035,0.926
120,0.008,0.031,0.926
121,0.000,0.031,0.930
122,0.004,0.035,0.918
123,0.008,0.035,0.926
124,0.008,0.031,0.918
125,0.004,0.039,0.918
126,0.012,0.035,0.930
127,0.008,0.035,0.914
128,0.004,0.031,0.918
129,0.004,0.035,0.930
130,0.012,0.023,0.914
131,0.004,0.031,0.922
132,0.008,0.035,0.914
133,0.008,0.039,0.930
134,0.004,0.031,0.918
135,0.004,0.031,0.918
136,0.008,0.031,0.910
137,0.004,0.031,0.910
138,0.004,0.039,0.922
139,0.008,0.035,0.930
140,0.008,0.039,0.930
141,0.008,0.031,0.922
142,0.004,0.031,0.914
143,0.008,0.027,0.918
144,0.004,0.035,0.906
145,0.004,0.035,0.922
146,0.004,0.035,0.910
147,0.012,0.035,0.922
148,0.004,0.039,0.914
149,0.004,0.035,0.914
150,0.012,0.023,0.922
151,0.008,0.031,0.918
152,0.004,0.043,0.910
153,0.000,0.039,0.918
154,0.016,0.035,0.922
155,0.012,0.043,0.918
156,0.004,0.039,0.914
157,0.004,0.035,0.918
158,0.004,0.031,0.922
159,0.000,0.039,0.930
160,0.008,0.031,0.930
161,0.016,0.031,0.926
162,0.008,0.035,0.930
163,0.008,0.035,0.918
164,0.008,0.027,0.922
165,0.004,0.035,0.922
166,0.012,0.031,0.922
167,0.012,0.039,0.922
168,0.004,0.043,0.914
169,0.008,0.031,0.914
170,0.008,0.035,0.914
171,0.008,0.035,0.918
172,0.012,0.031,0.910
173,0.008,0.035,0.922
174,0.012,0.031,0.926
175,0.008,0.039,0.918
176,0.008,0.039,0.930
177,0.004,0.047,0.930
178,0.008,0.023,0.922
179,0.008,0.027,0.918
180,0.008,0.027,0.918
181,0.012,0.031,0.922
182,0.008,0.043,0.918
183,0.012,0.031,0.922
184,0.004,0.035,0.914
185,0.008,0.031,0.922
186,0.008,0.035,0.906
187,0.004,0.039,0.918
188,0.008,0.031,0.926
189,0.004,0.031,0.930
190,0.004,0.035,0.922
191,0.004,0.039,0.918
192,0.004,0.035,0.918
193,0.000,0.035,0.926
194,0.008,0.035,0.918
195,0.000,0.035,0.914
196,0.008,0.039,0.926
197,0.004,0.039,0.922
198,0.000,0.031,0.914
199,0.004,0.035,0.926
200,0.000,0.043,0.918
201,0.000,0.035,0.918
202,0.000,0.039,0.926
203,0.008,0.035,0.914
204,0.000,0.031,0.914
205,0.004,0.039,0.918
206,0.004,0.031,0.926
207,0.004,0.027,0.910
208,0.008,0.023,0.918
209,0.004,0.039,0.914
210,0.004,0.047,0.926
211,0.000,0.035,0.922
212,0.012,0.035,0.914
213,0.000,0.031,0.922
214,0.004,0.035,0.918
215,0.008,0.027,0.914
216,0.004,0.027,0.910
217,0.008,0.043,0.922
218,0.004,0.035,0.914
219,0.012,0.035,0.910
220,0.008,0.031,0.902
221,0.012,0.031,0.922
222,0.004,0.031,0.918
223,0.008,0.043,0.922
224,0.012,0.035,0.926
225,0.012,0.031,0.922
226,0.008,0.043,0.914
227,0.008,0.035,0.914
228,0.008,0.031,0.922
229,0.004,0.031,0.918
230,0.016,0.031,0.918
231,0.012,0.031,0.926
232,0.012,0.031,0.930
233,0.012,0.035,0.922
234,0.004,0.035,0.922
235,0.012,0.027,0.914
236,0.000,0.031,0.926
237,0.008,0.031,0.918
238,0.012,0.043,0.914
239,0.008,0.031,0.922
240,0.008,0.031,0.918
241,0.008,0.027,0.914
242,0.000,0.039,0.918
243,0.008,0.031,0.926
244,0.004,0.035,0.918
245,0.008,0.043,0.914
246,0.012,0.031,0.922
247,0.004,0.039,0.922
248,0.004,0.039,0.918
249,0.004,0.035,0.922
250,0.004,0.035,0.934
251,0.004,0.027,0.926
252,0.004,0.043,0.914
253,0.004,0.027,0.930
254,0.004,0.027,0.926
255,0.004,0.031,0.906
256,0.000,0.047,0.910
257,0.012,0.031,0.918
258,0.004,0.031,0.922
259,0.004,0.047,0.918
260,0.000,0.031,0.918
261,0.008,0.035,0.930
262,0.004,0.035,0.926
263,0.012,0.027,0.914
