Sample,Z
0,0.4694
1,0.4694
2,0.4694
3,0.4690
4,0.4690
5,0.4693
6,0.4693
7,0.4674
8,0.4692
9,0.4689
10,0.4692
11,0.4691
12,0.4694
13,0.4694
14,0.4692
15,0.4691
16,0.4692
17,0.4690
18,0.4694
19,0.4693
20,0.4689
21,0.4692
22,0.4692
23,0.4692
24,0.4692
25,0.4693
26,0.4694
27,0.4694
28,0.4694
29,0.4689
30,0.4693
31,0.4692
32,0.4692
33,0.4692
34,0.4693
35,0.4692
36,0.4688
37,0.4692
38,0.4693
39,0.4694
40,0.4692
41,0.4692
42,0.4692
43,0.4693
44,0.4691
45,0.4693
46,0.4692
47,0.4690
48,0.4691
49,0.4689
50,0.4692
51,0.4692
52,0.4689
53,0.4694
54,0.4694
55,0.4689
56,0.4692
57,0.4692
58,0.4694
59,0.4692
60,0.4693
61,0.4693
62,0.4692
63,0.4692
64,0.4694
65,0.4693
66,0.4693
67,0.4693
68,0.4694
69,0.4694
70,0.4692
71,0.4694
72,0.4691
73,0.4693
74,0.4692
75,0.4694
76,0.4692
77,0.4675
78,0.4694
79,0.4694
80,0.4694
81,0.4694
82,0.4694
83,0.4692
84,0.4693
85,0.4682
86,0.4691
87,0.4694
88,0.4693
89,0.4692
90,0.4694
91,0.4692
92,0.4694
93,0.4692
94,0.4692
95,0.4694
96,0.4692
97,0.4692
98,0.4692
99,0.4692
100,0.4692
101,0.4673
102,0.4694
103,0.4694
104,0.4692
105,0.4693
106,0.4694
107,0.4695
108,0.4697
109,0.4694
110,0.4711
111,0.4716
112,0.4730
113,0.4731
114,0.4732
115,0.4730
116,0.4730
117,0.4719
118,0.4712
119,0.4692
120,0.4674
121,0.4655
122,0.4640
123,0.4618
124,0.4600
125,0.4603
126,0.4600
127,0.4605
128,0.4623
129,0.4647
130,0.4666
131,0.4688
132,0.4711
133,0.4729
134,0.4736
135,0.4747
136,0.4750
137,0.4740
138,0.4733
139,0.4720
140,0.4700
141,0.4676
142,0.4654
143,0.4636
144,0.4619
145,0.4611
146,0.4598
147,0.4600
148,0.4614
149,0.4628
150,0.4640
151,0.4655
152,0.4674
153,0.4691
154,0.4703
155,0.4714
156,0.4722
157,0.4727
158,0.4730
159,0.4726
160,0.4723
161,0.4713
162,0.4700
163,0.4692
164,0.4679
165,0.4672
166,0.4658
167,0.4653
168,0.4642
169,0.4641
170,0.4634
171,0.4634
172,0.4634
173,0.4646
174,0.4654
175,0.4661
176,0.4673
177,0.4689
178,0.4695
179,0.4698
180,0.4714
181,0.4725
182,0.4731
183,0.4728
184,0.4724
185,0.4719
186,0.4712
187,0.4708
188,0.4692
189,0.4683
190,0.4669
191,0.4655
192,0.4651
193,0.4637
194,0.4634
195,0.4633
196,0.4630
197,0.4621
198,0.4637
199,0.4653
200,0.4660
201,0.4675
202,0.4686
203,0.4695
204,0.4707
205,0.4713
206,0.4714
207,0.4721
208,0.4724
209,0.4719
210,0.4717
