Sample,Z
0,0.4697
1,0.4692
2,0.4695
3,0.4693
4,0.4695
5,0.4698
6,0.4694
7,0.4696
8,0.4695
9,0.4692
10,0.4694
11,0.4697
12,0.4697
13,0.4697
14,0.4697
15,0.4696
16,0.4699
17,0.4698
18,0.4694
19,0.4697
20,0.4699
21,0.4697
22,0.4699
23,0.4695
24,0.4695
25,0.4697
26,0.4695
27,0.4694
28,0.4693
29,0.4694
30,0.4695
31,0.4692
32,0.4692
33,0.4699
34,0.4700
35,0.4697
36,0.4697
37,0.4695
38,0.4695
39,0.4692
40,0.4694
41,0.4698
42,0.4698
43,0.4694
44,0.4694
45,0.4692
46,0.4698
47,0.4697
48,0.4692
49,0.4696
50,0.4692
51,0.4694
52,0.4694
53,0.4697
54,0.4693
55,0.4695
56,0.4695
57,0.4700
58,0.4697
59,0.4701
60,0.4694
61,0.4695
62,0.4694
63,0.4696
64,0.4698
65,0.4675
66,0.4697
67,0.4695
68,0.4695
69,0.4698
70,0.4698
71,0.4702
72,0.4695
73,0.4697
74,0.4697
75,0.4700
76,0.4698
77,0.4693
78,0.4698
79,0.4697
80,0.4697
81,0.4692
82,0.4701
83,0.4697
84,0.4694
85,0.4695
86,0.4693
87,0.4700
88,0.4695
89,0.4697
90,0.4697
91,0.4697
92,0.4696
93,0.4696
94,0.4695
95,0.4698
96,0.4692
97,0.4700
98,0.4695
99,0.4697
100,0.4698
101,0.4695
102,0.4698
103,0.4698
104,0.4697
105,0.4697
106,0.4697
107,0.4696
108,0.4700
109,0.4697
110,0.4692
111,0.4695
112,0.4701
113,0.4699
114,0.4697
115,0.4695
116,0.4695
117,0.4696
118,0.4696
119,0.4694
120,0.4702
121,0.4702
122,0.4694
123,0.4696
124,0.4701
125,0.4694
126,0.4696
127,0.4694
128,0.4695
129,0.4695
130,0.4694
131,0.4697
132,0.4695
133,0.4694
134,0.4697
135,0.4698
136,0.4702
137,0.4704
138,0.4702
139,0.4700
140,0.4703
141,0.4694
142,0.4695
143,0.4695
144,0.4695
145,0.4694
146,0.4694
147,0.4694
148,0.4692
149,0.4696
150,0.4694
151,0.4697
152,0.4695
153,0.4696
154,0.4697
155,0.4697
156,0.4697
157,0.4698
158,0.4696
159,0.4695
160,0.4697
161,0.4698
162,0.4695
163,0.4694
164,0.4695
165,0.4698
166,0.4692
167,0.4694
168,0.4694
169,0.4696
170,0.4696
171,0.4694
172,0.4696
173,0.4696
174,0.4695
175,0.4697
176,0.4700
177,0.4698
178,0.4697
179,0.4697
180,0.4695
181,0.4696
182,0.4697
183,0.4697
184,0.4692
185,0.4695
186,0.4693
187,0.4694
188,0.4694
189,0.4696
190,0.4699
191,0.4702
192,0.4698
193,0.4703
194,0.4701
195,0.4699
196,0.4695
197,0.4696
198,0.4695
199,0.4695
200,0.4694
201,0.4674
202,0.4694
203,0.4692
204,0.4694
205,0.4695
206,0.4695
207,0.4696
208,0.4695
209,0.4695
210,0.4695
211,0.4692
212,0.4694
213,0.4694
214,0.4694
215,0.4695
216,0.4694
217,0.4694
218,0.4681
219,0.4692
220,0.4692
221,0.4688
222,0.4687
223,0.4692
224,0.4692
225,0.4694
226,0.4692
227,0.4694
228,0.4692
229,0.4694
230,0.4694
231,0.4693
232,0.4694
233,0.4674
234,0.4693
235,0.4694
236,0.4692
237,0.4693
238,0.4692
239,0.4685
240,0.4692
241,0.4692
242,0.4694
243,0.4694
244,0.4694
245,0.4695
246,0.4695
247,0.4695
248,0.4693
249,0.4694
250,0.4694
251,0.4691
252,0.4693
253,0.4694
254,0.4692
255,0.4694
256,0.4693
257,0.4681
258,0.4687
259,0.4693
260,0.4692
261,0.4693
262,0.4694
263,0.4693
264,0.4691
265,0.4686
266,0.4695
267,0.4691
268,0.4693
269,0.4694
270,0.4694
271,0.4694
272,0.4692
273,0.4691
274,0.4691
275,0.4692
276,0.4692
277,0.4692
278,0.4690
279,0.4692
280,0.4695
281,0.4694
282,0.4694
283,0.4693
284,0.4693
285,0.4694
286,0.4694
287,0.4693
288,0.4694
289,0.4692
290,0.4694
291,0.4693
292,0.4679
293,0.4692
294,0.4689
295,0.4693
296,0.4691
297,0.4690
298,0.4692
299,0.4692
300,0.4693
301,0.4692
302,0.4692
303,0.4695
304,0.4693
305,0.4694
306,0.4694
307,0.4694
308,0.4692
309,0.4692
310,0.4690
311,0.4693
312,0.4686
313,0.4673
314,0.4692
315,0.4692
316,0.4692
317,0.4692
318,0.4692
319,0.4694
320,0.4694
321,0.4693
322,0.4692
323,0.4693
324,0.4694
325,0.4694
326,0.4693
327,0.4693
328,0.4682
329,0.4691
330,0.4689
331,0.4684
332,0.4689
333,0.4688
334,0.4691
335,0.4691
336,0.4693
337,0.4691
338,0.4693
339,0.4694
340,0.4692
341,0.4693
342,0.4689
343,0.4692
344,0.4690
345,0.4692
346,0.4691
347,0.4679
348,0.4689
349,0.4685
350,0.4688
351,0.4691
352,0.4692
353,0.4691
354,0.4692
355,0.4694
356,0.4693
357,0.4693
358,0.4695
359,0.4692
360,0.4693
361,0.4692
362,0.4692
363,0.4692
364,0.4690
365,0.4691
366,0.4689
367,0.4686
368,0.4685
369,0.4691
370,0.4689
371,0.4677
372,0.4689
373,0.4692
374,0.4692
375,0.4692
376,0.4693
377,0.4694
378,0.4694
379,0.4674
380,0.4691
381,0.4691
382,0.4692
383,0.4690
384,0.4683
385,0.4673
386,0.4685
387,0.4688
388,0.4691
389,0.4689
390,0.4691
391,0.4691
392,0.4692
393,0.4693
394,0.4694
395,0.4692
396,0.4692
397,0.4692
398,0.4692
399,0.4691
400,0.4691
401,0.4688
402,0.4685
403,0.4679
404,0.4679
405,0.4675
406,0.4677
407,0.4673
408,0.4678
409,0.4681
410,0.4689
411,0.4690
412,0.4681
413,0.4690
414,0.4692
415,0.4692
416,0.4692
417,0.4678
418,0.4692
419,0.4690
420,0.4688
421,0.4681
422,0.4678
423,0.4676
424,0.4679
425,0.4678
426,0.4675
427,0.4688
428,0.4683
429,0.4678
430,0.4693
431,0.4692
432,0.4693
433,0.4693
434,0.4692
435,0.4691
436,0.4692
437,0.4689
438,0.4689
439,0.4686
440,0.4686
441,0.4688
442,0.4683
443,0.4678
444,0.4690
445,0.4690
446,0.4688
447,0.4681
448,0.4689
449,0.4692
450,0.4687
451,0.4692
452,0.4694
453,0.4692
454,0.4692
455,0.4692
456,0.4691
457,0.4691
458,0.4694
459,0.4687
460,0.4689
461,0.4675
462,0.4687
463,0.4679
464,0.4691
465,0.4692
466,0.4686
467,0.4687
468,0.4673
469,0.4664
470,0.4649
471,0.4620
472,0.4587
473,0.4542
474,0.4487
475,0.4458
476,0.4421
477,0.4385
478,0.4353
479,0.4323
480,0.4295
481,0.4261
482,0.4223
483,0.4185
484,0.4146
485,0.4094
486,0.4050
487,0.4004
488,0.3956
489,0.3912
490,0.3867
491,0.3823
492,0.3786
493,0.3750
494,0.3718
495,0.3696
496,0.3671
497,0.3640
498,0.3629
499,0.3617
500,0.3599
501,0.3579
502,0.3560
503,0.3540
504,0.3520
505,0.3490
506,0.3463
507,0.3427
508,0.3396
509,0.3366
510,0.3335
511,0.3308
512,0.3286
513,0.3253
514,0.3232
515,0.3214
516,0.3204
517,0.3188
518,0.3171
519,0.3168
520,0.3150
521,0.3134
522,0.3126
523,0.3107
524,0.3090
525,0.3068
526,0.3052
527,0.3031
528,0.3007
529,0.2982
530,0.2967
531,0.2954
532,0.2935
533,0.2915
534,0.2897
535,0.2889
536,0.2877
537,0.2868
538,0.2854
539,0.2847
540,0.2838
541,0.2819
542,0.2818
543,0.2803
544,0.2787
545,0.2779
546,0.2760
547,0.2742
548,0.2736
549,0.2722
550,0.2715
